product_id,product_code,product_name,category_id,velocity_class_id,avg_retail_price,weight_lbs,shelf_life_days,supplier_id
45,ELEC-1045,Soccer Ball v6,1,2,799,27.58,NULL,35
46,ELEC-1046,Webcam HD v6,1,1,1299,33.40,NULL,20
47,ELEC-1047,Cologne Mens v6,1,1,199,14.71,NULL,18
48,ELEC-1048,Vitamins Multi v6,1,1,199,7.29,NULL,2
49,ELEC-1049,Socks 6-pack v7,1,1,499,19.47,NULL,25
50,ELEC-1050,Sunscreen 50+ v7,1,1,1299,32.43,NULL,12
51,ELEC-1051,T-Shirt Cotton v7,1,1,99,37.40,NULL,21
52,ELEC-1052,Plush Toy v7,1,1,199,2.94,NULL,28
53,ELEC-1053,Trading Card Pack v7,1,1,299,3.01,NULL,20
54,ELEC-1054,Laptop Pro 15 v7,1,1,299,39.33,NULL,35
55,ELEC-1055,Plant Pot Ceramic v7,1,2,1299,9.00,NULL,7
56,ELEC-1056,Sunscreen 50+ v7,1,1,99,43.14,NULL,11
57,ELEC-1057,Dumbbells Set v8,1,3,99,35.52,NULL,28
58,ELEC-1058,Rice Basmati v8,1,1,499,43.80,NULL,1
59,ELEC-1059,Toaster 4-Slice v8,1,2,199,17.63,NULL,6
60,ELEC-1060,Coffee Beans v8,1,1,99,5.40,NULL,23
61,ELEC-1061,Perfume Womens v8,1,1,299,49.36,NULL,33
62,ELEC-1062,Vitamins Multi v8,1,2,199,6.64,NULL,2
63,ELEC-1063,Bicycle Mountain v8,1,1,799,33.94,NULL,5
64,ELEC-1064,Plant Pot Ceramic v8,1,1,1299,43.90,NULL,14
65,ELEC-1065,Smartphone X12 v9,1,1,299,45.01,NULL,29
66,ELEC-1066,Scarf Wool v9,1,1,499,25.02,NULL,3
67,ELEC-1067,Area Rug 8x10 v9,1,3,1299,36.14,NULL,4
68,ELEC-1068,Face Mask Sheet v9,1,1,1299,8.95,NULL,12
69,ELEC-1069,Running Shoes Pro v9,1,1,299,46.75,NULL,33
70,ELEC-1070,Toothbrush Electric v9,1,3,499,6.98,NULL,2
71,ELEC-1071,Puzzle 1000pc v9,1,3,799,25.86,NULL,12
72,ELEC-1072,Water Bottle Insulated v9,1,3,199,34.38,NULL,3
73,ELEC-1073,Area Rug 8x10 v10,1,2,299,42.17,NULL,26
74,ELEC-1074,Soccer Ball v10,1,3,299,4.53,NULL,29
75,ELEC-1075,Yoga Mat v10,1,1,499,32.80,NULL,8
76,ELEC-1076,Puzzle 1000pc v10,1,1,1299,40.20,NULL,12
77,ELEC-1077,Yoga Mat v10,1,1,199,32.69,NULL,3
78,ELEC-1078,Wireless Earbuds v10,1,2,799,17.63,NULL,5
79,ELEC-1079,Trading Card Pack v10,1,3,499,41.69,NULL,5
80,ELEC-1080,Lip Balm SPF v10,1,1,199,44.10,NULL,20
81,ELEC-1081,Bread Whole Wheat v11,1,3,99,5.17,NULL,7
82,ELEC-1082,Polo Shirt v11,1,1,299,1.45,NULL,35
83,ELEC-1083,Dumbbells Set v11,1,2,99,15.05,NULL,30
84,ELEC-1084,Costume Mask v11,1,1,799,22.07,NULL,33
85,ELEC-1085,Video Game Controller v11,1,2,299,38.15,NULL,27
86,ELEC-1086,Tablet 10in v11,1,1,99,37.89,NULL,31
87,ELEC-1087,Costume Mask v11,1,3,499,31.16,NULL,5
88,ELEC-1088,Vitamins Multi v11,1,1,299,33.41,NULL,33
89,ELEC-1089,Fireworks Pack v12,1,1,299,22.89,NULL,2
90,ELEC-1090,Ornament Pack v12,1,1,799,8.52,NULL,17
91,ELEC-1091,Deodorant Antiperspirant v12,1,1,299,33.96,NULL,33
92,ELEC-1092,Christmas Tree 6ft v12,1,2,1299,14.31,NULL,4
93,ELEC-1093,Pillow Memory Foam v12,1,1,1299,26.71,NULL,18
94,ELEC-1094,Puzzle 1000pc v12,1,3,199,29.81,NULL,29
95,ELEC-1095,Plant Pot Ceramic v12,1,2,499,3.86,NULL,21
96,ELEC-1096,Jeans Classic Blue v12,1,3,299,3.93,NULL,27
97,ELEC-1097,Cheese Cheddar v13,1,1,499,25.78,NULL,27
98,ELEC-1098,Tablet 10in v13,1,2,99,15.13,NULL,19
99,ELEC-1099,Webcam HD v13,1,1,499,12.62,NULL,22
100,ELEC-1100,Polo Shirt v13,1,1,499,27.32,NULL,13
101,ELEC-1101,Toaster 4-Slice v13,1,3,799,15.13,NULL,17
102,ELEC-1102,Cologne Mens v13,1,1,299,8.73,NULL,23
103,ELEC-1103,Ornament Pack v13,1,1,99,27.53,NULL,5
104,ELEC-1104,Milk Whole 1gal v13,1,1,299,6.94,NULL,18
105,ELEC-1105,Fireworks Pack v14,1,3,199,40.88,NULL,29
106,ELEC-1106,Polo Shirt v14,1,1,799,13.21,NULL,34
107,ELEC-1107,Valentine Chocolate v14,1,2,499,29.63,NULL,31
108,ELEC-1108,USB-C Cable 6ft v14,1,3,499,47.35,NULL,21
109,ELEC-1109,Swim Goggles v14,1,2,499,23.77,NULL,10
110,ELEC-1110,Ornament Pack v14,1,1,1299,15.34,NULL,8
111,ELEC-1111,Gloves Winter v14,1,3,299,31.97,NULL,17
112,ELEC-1112,Ice Melt Bag v14,1,2,799,8.60,NULL,28
113,ELEC-1113,Trading Card Pack v15,1,1,299,30.03,NULL,34
114,ELEC-1114,Coffee Beans v15,1,1,499,31.32,NULL,9
115,ELEC-1115,Cap Baseball v15,1,2,299,23.36,NULL,2
116,ELEC-1116,Mouse Wireless v15,1,2,299,16.33,NULL,27
117,ELEC-1117,Swim Goggles v15,1,1,99,9.05,NULL,25
118,ELEC-1118,Yogurt Vanilla v15,1,1,99,40.87,NULL,21
119,ELEC-1119,Rice Basmati v15,1,1,99,46.44,NULL,12
120,ELEC-1120,Cologne Mens v15,1,2,499,7.38,NULL,9
121,ELEC-1121,New Year Decoration v16,1,1,199,38.08,NULL,34
122,ELEC-1122,Clock Digital v16,1,1,1299,32.12,NULL,20
123,ELEC-1123,Fireworks Pack v16,1,2,1299,42.84,NULL,35
124,ELEC-1124,Socks 6-pack v16,1,1,1299,45.61,NULL,3
125,ELEC-1125,Halloween Costume v16,1,1,199,5.65,NULL,26
126,ELEC-1126,Cap Baseball v16,1,1,99,37.18,NULL,22
127,ELEC-1127,Soccer Ball v16,1,1,199,4.45,NULL,22
128,ELEC-1128,Eye Cream v16,1,1,99,29.96,NULL,26
129,ELEC-1129,Clock Digital v17,1,3,799,27.91,NULL,34
130,ELEC-1130,Dumbbells Set v17,1,1,799,10.83,NULL,33
131,ELEC-1131,Milk Whole 1gal v17,1,1,499,7.42,NULL,27
132,ELEC-1132,Water Bottle Insulated v17,1,1,499,18.43,NULL,29
133,ELEC-1133,Serum Vitamin C v17,1,1,1299,12.17,NULL,15
134,ELEC-1134,Ice Melt Bag v17,1,1,199,23.71,NULL,30
135,ELEC-1135,Easter Basket v17,1,2,299,7.33,NULL,4
136,ELEC-1136,Eggs Dozen v17,1,1,199,16.31,NULL,6
137,ELEC-1137,Smartphone X12 v18,1,1,799,21.11,NULL,27
138,ELEC-1138,Cap Baseball v18,1,1,299,47.80,NULL,27
139,ELEC-1139,Costume Mask v18,1,1,1299,21.29,NULL,17
140,ELEC-1140,Serum Vitamin C v18,1,1,499,38.19,NULL,26
141,ELEC-1141,Bedding Set Queen v18,1,1,1299,20.57,NULL,8
142,ELEC-1142,Plush Toy v18,1,1,799,40.22,NULL,21
143,ELEC-1143,Plush Toy v18,1,1,199,22.23,NULL,24
144,ELEC-1144,Water Bottle Insulated v18,1,3,1299,34.13,NULL,6
145,ELEC-1145,Shorts Summer v19,1,1,1299,35.57,NULL,1
146,ELEC-1146,Kite Sports v19,1,1,299,2.11,NULL,28
147,ELEC-1147,Coffee Beans v19,1,3,299,9.33,NULL,13
148,ELEC-1148,Valentine Chocolate v19,1,1,1299,16.80,NULL,28
149,ELEC-1149,Gloves Winter v19,1,1,99,44.30,NULL,7
150,ELEC-1150,Rice Basmati v19,1,2,199,36.20,NULL,8
151,ELEC-1151,Toaster 4-Slice v19,1,3,1299,41.21,NULL,35
152,ELEC-1152,Polo Shirt v19,1,1,299,23.56,NULL,15
153,ELEC-1153,Cap Baseball v20,1,1,499,26.74,NULL,33
154,ELEC-1154,Dress Casual v20,1,3,499,8.47,NULL,10
155,ELEC-1155,Pumpkin Decoration v20,1,2,1299,11.18,NULL,17
156,ELEC-1156,Video Game Controller v20,1,1,499,12.89,NULL,15
157,ELEC-1157,Building Blocks v20,1,1,1299,48.15,NULL,8
158,ELEC-1158,Bicycle Mountain v20,1,2,799,33.66,NULL,1
159,ELEC-1159,Puzzle 1000pc v20,1,1,1299,14.54,NULL,12
160,ELEC-1160,Sunscreen 50+ v20,1,1,299,29.89,NULL,18
161,ELEC-1161,Tablet 10in v21,1,3,299,45.90,NULL,15
162,ELEC-1162,Yogurt Vanilla v21,1,3,299,12.01,NULL,22
163,ELEC-1163,Fireworks Pack v21,1,1,799,17.77,NULL,25
164,ELEC-1164,Puzzle 1000pc v21,1,1,99,46.69,NULL,30
165,ELEC-1165,Yo-Yo Classic v21,1,1,499,15.58,NULL,27
166,ELEC-1166,New Year Decoration v21,1,3,199,24.93,NULL,8
167,ELEC-1167,Olive Oil Extra v21,1,1,1299,16.88,NULL,24
168,ELEC-1168,Lego Set Large v21,1,1,199,14.30,NULL,12
169,ELEC-1169,Yo-Yo Classic v22,1,1,299,37.06,NULL,22
170,ELEC-1170,Backpack Hiking v22,1,1,199,28.33,NULL,22
171,ELEC-1171,Butter Salted v22,1,1,299,31.25,NULL,3
172,ELEC-1172,Bicycle Mountain v22,1,1,199,26.52,NULL,11
173,ELEC-1173,Cereal Granola v22,1,1,299,19.32,NULL,15
174,ELEC-1174,Building Blocks v22,1,1,1299,15.71,NULL,9
175,ELEC-1175,Dumbbells Set v22,1,1,1299,30.02,NULL,29
176,ELEC-1176,Easter Basket v22,1,1,99,14.52,NULL,14
177,ELEC-1177,Blender Smoothie v23,1,3,99,13.89,NULL,29
178,ELEC-1178,Smart Watch v23,1,1,799,4.91,NULL,31
179,ELEC-1179,Scarf Wool v23,1,1,799,42.04,NULL,1
180,ELEC-1180,Lego Set Large v23,1,1,799,8.22,NULL,1
181,ELEC-1181,Cap Baseball v23,1,2,299,23.58,NULL,9
182,ELEC-1182,Running Shoes v23,1,1,799,1.11,NULL,13
183,ELEC-1183,Clock Digital v23,1,1,299,10.25,NULL,23
184,ELEC-1184,Tent 4-Person v23,1,1,199,1.37,NULL,34
185,ELEC-1185,Wireless Earbuds v24,1,1,199,7.65,NULL,35
186,ELEC-1186,Lego Set Large v24,1,1,799,2.03,NULL,4
187,ELEC-1187,Curtains Blackout v24,1,1,299,28.91,NULL,13
188,ELEC-1188,Polo Shirt v24,1,1,1299,22.48,NULL,28
189,ELEC-1189,Trading Card Pack v24,1,1,199,7.71,NULL,31
190,ELEC-1190,Cologne Mens v24,1,1,299,27.44,NULL,17
191,ELEC-1191,Smart Watch v24,1,1,1299,34.39,NULL,35
192,ELEC-1192,Yo-Yo Classic v24,1,1,199,16.86,NULL,24
193,ELEC-1193,Winter Jacket v25,1,3,299,48.83,NULL,5
194,ELEC-1194,New Year Decoration v25,1,1,499,22.56,NULL,8
195,ELEC-1195,Vitamins Multi v25,1,1,299,44.35,NULL,29
196,ELEC-1196,Deodorant Antiperspirant v25,1,2,99,1.52,NULL,32
197,ELEC-1197,Backpack Hiking v25,1,1,1299,48.85,NULL,5
198,ELEC-1198,Board Game v25,1,1,499,29.97,NULL,29
199,ELEC-1199,Baseball Glove v25,1,2,299,14.54,NULL,31
200,ELEC-1200,Rice Basmati v25,1,1,299,34.97,NULL,32
201,ELEC-1201,Trading Card Pack v26,1,2,1299,22.63,NULL,3
202,ELEC-1202,Toy Car Remote v26,1,1,299,27.52,NULL,13
203,ELEC-1203,Bedding Set Queen v26,1,1,799,24.90,NULL,11
204,ELEC-1204,Lip Balm SPF v26,1,1,499,30.46,NULL,23
205,ELEC-1205,Soccer Ball v26,1,1,199,14.15,NULL,33
206,ELEC-1206,Backpack Hiking v26,1,2,499,46.39,NULL,6
207,ELEC-1207,Jeans Classic Blue v26,1,1,499,26.04,NULL,29
208,ELEC-1208,Tent 4-Person v26,1,3,199,2.96,NULL,19
209,ELEC-1209,T-Shirt Cotton v27,1,1,799,8.03,NULL,30
210,ELEC-1210,Yoga Mat v27,1,3,199,17.00,NULL,7
211,ELEC-1211,Butter Salted v27,1,1,99,23.08,NULL,27
212,ELEC-1212,Peanut Butter v27,1,1,499,29.34,NULL,28
213,ELEC-1213,Cologne Mens v27,1,1,99,35.15,NULL,20
214,ELEC-1214,Skateboard Pro v27,1,1,299,36.14,NULL,27
215,ELEC-1215,Scarf Wool v27,1,1,799,34.52,NULL,15
216,ELEC-1216,Snow Shovel v27,1,2,99,22.71,NULL,27
217,ELEC-1217,Olive Oil Extra v28,1,3,799,22.19,NULL,21
218,ELEC-1218,Ornament Pack v28,1,1,99,44.47,NULL,32
219,ELEC-1219,Serum Vitamin C v28,1,2,799,34.87,NULL,22
220,ELEC-1220,Eye Cream v28,1,1,99,12.22,NULL,28
221,ELEC-1221,Costume Mask v28,1,1,1299,11.69,NULL,20
222,ELEC-1222,Deodorant Antiperspirant v28,1,1,299,17.88,NULL,6
223,ELEC-1223,Serum Vitamin C v28,1,1,199,44.83,NULL,22
224,ELEC-1224,Eye Cream v28,1,1,799,43.93,NULL,29
225,ELEC-1225,Trading Card Pack v29,1,1,1299,25.69,NULL,23
226,ELEC-1226,Plush Toy v29,1,1,799,2.44,NULL,1
227,ELEC-1227,Vitamins Multi v29,1,2,1299,25.20,NULL,9
228,ELEC-1228,Water Bottle Insulated v29,1,1,799,33.94,NULL,30
229,ELEC-1229,Yoga Mat v29,1,3,199,27.50,NULL,31
230,ELEC-1230,Easter Basket v29,1,1,199,2.64,NULL,17
231,ELEC-1231,Plush Toy v29,1,1,499,39.72,NULL,11
232,ELEC-1232,Running Shoes Pro v29,1,2,499,9.16,NULL,6
233,ELEC-1233,Bread Whole Wheat v30,1,1,99,30.40,NULL,19
234,ELEC-1234,Costume Mask v30,1,3,199,5.09,NULL,30
235,ELEC-1235,Bicycle Mountain v30,1,1,99,44.09,NULL,11
236,ELEC-1236,Yogurt Vanilla v30,1,2,99,19.87,NULL,1
237,ELEC-1237,Perfume Womens v30,1,2,799,26.29,NULL,9
238,ELEC-1238,Gloves Winter v30,1,1,799,5.77,NULL,10
239,ELEC-1239,Serum Vitamin C v30,1,1,799,36.04,NULL,26
240,ELEC-1240,Shorts Summer v30,1,1,99,35.41,NULL,23
241,ELEC-1241,Cap Baseball v31,1,1,499,14.39,NULL,17
242,ELEC-1242,T-Shirt Cotton v31,1,1,299,7.92,NULL,26
243,ELEC-1243,Cereal Granola v31,1,1,499,2.85,NULL,31
244,ELEC-1244,Jeans Classic Blue v31,1,1,199,40.14,NULL,26
245,ELEC-1245,Trading Card Pack v31,1,1,499,15.16,NULL,13
246,ELEC-1246,Ornament Pack v31,1,3,199,3.29,NULL,28
247,ELEC-1247,Shampoo Moisturizing v31,1,3,1299,12.96,NULL,14
248,ELEC-1248,Snow Shovel v31,1,2,299,49.89,NULL,20
249,ELEC-1249,Bluetooth Speaker v32,1,1,799,13.57,NULL,4
250,ELEC-1250,Curtains Blackout v32,1,1,299,43.70,NULL,12
251,ELEC-1251,Butter Salted v32,1,3,199,1.24,NULL,34
252,ELEC-1252,Tennis Racket v32,1,2,199,41.40,NULL,32
253,ELEC-1253,Wireless Earbuds v32,1,3,299,46.91,NULL,19
254,ELEC-1254,Bedding Set Queen v32,1,1,199,5.19,NULL,35
255,ELEC-1255,Cologne Mens v32,1,2,299,8.72,NULL,31
256,ELEC-1256,Backpack Hiking v32,1,2,199,25.43,NULL,5
257,ELEC-1257,Running Shoes v33,1,3,299,24.50,NULL,4
258,ELEC-1258,Clock Digital v33,1,1,799,39.22,NULL,24
259,ELEC-1259,Serum Vitamin C v33,1,1,499,41.57,NULL,4
260,ELEC-1260,Jeans Classic Blue v33,1,2,499,12.34,NULL,21
261,ELEC-1261,Doll Fashion v33,1,1,99,16.37,NULL,23
262,ELEC-1262,Face Cream Moisturizer v33,1,1,299,11.77,NULL,2
263,ELEC-1263,Jeans Classic Blue v33,1,3,99,4.73,NULL,32
264,ELEC-1264,Shorts Summer v33,1,3,299,36.41,NULL,11
265,ELEC-1265,Mirror Wall v34,1,2,199,8.36,NULL,26
266,ELEC-1266,Action Figure Set v34,1,3,499,39.92,NULL,7
267,ELEC-1267,Smart Watch v34,1,1,1299,7.14,NULL,25
268,ELEC-1268,Sweatshirt Hoodie v34,1,1,499,24.68,NULL,26
269,ELEC-1269,Laptop Pro 15 v34,1,1,1299,36.04,NULL,16
270,ELEC-1270,Winter Jacket v34,1,3,1299,38.96,NULL,27
271,ELEC-1271,Backpack Hiking v34,1,1,99,38.71,NULL,30
272,ELEC-1272,Swim Goggles v34,1,1,1299,45.04,NULL,24
273,ELEC-1273,Costume Mask v35,1,1,799,37.55,NULL,31
274,ELEC-1274,Cologne Mens v35,1,3,1299,23.13,NULL,11
275,ELEC-1275,Serum Vitamin C v35,1,2,1299,5.63,NULL,4
276,ELEC-1276,Toaster 4-Slice v35,1,1,99,9.69,NULL,23
277,ELEC-1277,Board Game v35,1,1,799,39.99,NULL,12
278,ELEC-1278,Cereal Granola v35,1,1,99,15.73,NULL,34
279,ELEC-1279,Deodorant Antiperspirant v35,1,1,199,2.09,NULL,3
280,ELEC-1280,Butter Salted v35,1,3,299,43.01,NULL,33
281,ELEC-1281,Thanksgiving Centerpiece v36,1,1,799,40.64,NULL,27
282,ELEC-1282,Yo-Yo Classic v36,1,3,299,6.20,NULL,5
283,ELEC-1283,Monitor 27in v36,1,3,1299,30.62,NULL,2
284,ELEC-1284,Blender Smoothie v36,1,1,99,45.40,NULL,8
285,ELEC-1285,Olive Oil Extra v36,1,1,199,2.36,NULL,25
286,ELEC-1286,Toaster 4-Slice v36,1,2,299,44.81,NULL,21
287,ELEC-1287,Lego Set Large v36,1,1,299,14.71,NULL,32
288,ELEC-1288,Yo-Yo Classic v36,1,1,199,8.97,NULL,8
289,ELEC-1289,Sweatshirt Hoodie v37,1,1,299,17.60,NULL,20
290,ELEC-1290,Coffee Beans v37,1,1,99,26.00,NULL,14
291,ELEC-1291,Video Game Controller v37,1,1,299,34.84,NULL,19
292,ELEC-1292,Face Mask Sheet v37,1,1,99,16.99,NULL,22
293,ELEC-1293,Video Game Controller v37,1,3,799,8.33,NULL,30
294,ELEC-1294,Costume Mask v37,1,2,199,49.84,NULL,6
295,ELEC-1295,Pillow Memory Foam v37,1,3,99,43.02,NULL,27
296,ELEC-1296,Yo-Yo Classic v37,1,1,99,4.71,NULL,5
297,ELEC-1297,Baseball Glove v38,1,3,799,35.46,NULL,29
298,ELEC-1298,Jeans Classic Blue v38,1,3,199,38.77,NULL,22
299,ELEC-1299,Butter Salted v38,1,2,799,9.50,NULL,12
300,ELEC-1300,Webcam HD v38,1,1,799,16.38,NULL,32
301,ELEC-1301,Tent 4-Person v38,1,3,99,17.72,NULL,31
302,ELEC-1302,Yo-Yo Classic v38,1,1,199,30.72,NULL,16
303,ELEC-1303,Power Bank 20000mAh v38,1,1,199,24.84,NULL,34
304,ELEC-1304,Easter Basket v38,1,1,199,24.06,NULL,11
305,ELEC-1305,Smartphone X12 v39,1,1,499,34.95,NULL,5
306,ELEC-1306,Soccer Ball v39,1,1,499,42.25,NULL,22
307,ELEC-1307,Sunscreen 50+ v39,1,3,99,17.18,NULL,10
308,ELEC-1308,Curtains Blackout v39,1,1,1299,15.07,NULL,8
309,ELEC-1309,Jeans Classic Blue v39,1,2,799,38.36,NULL,30
310,ELEC-1310,Face Mask Sheet v39,1,3,799,42.32,NULL,11
311,ELEC-1311,Toaster 4-Slice v39,1,3,499,8.19,NULL,22
312,ELEC-1312,Ice Melt Bag v39,1,1,99,29.82,NULL,2
313,ELEC-1313,Olive Oil Extra v40,1,2,299,45.14,NULL,31
314,ELEC-1314,Pillow Memory Foam v40,1,2,299,20.54,NULL,11
315,ELEC-1315,Running Shoes Pro v40,1,2,799,34.14,NULL,10
316,ELEC-1316,Pasta Box v40,1,3,299,42.06,NULL,10
317,ELEC-1317,Serum Vitamin C v40,1,1,99,19.39,NULL,29
318,ELEC-1318,Running Shoes v40,1,1,799,35.95,NULL,26
319,ELEC-1319,Skateboard Pro v40,1,2,799,45.53,NULL,22
320,ELEC-1320,Easter Basket v40,1,3,299,12.78,NULL,19
321,ELEC-1321,Pasta Box v41,1,1,99,38.72,NULL,35
322,ELEC-1322,Toy Car Remote v41,1,3,499,5.16,NULL,34
323,ELEC-1323,Rice Basmati v41,1,3,199,27.26,NULL,35
324,ELEC-1324,Tennis Racket v41,1,2,799,1.21,NULL,13
325,ELEC-1325,Tent 4-Person v41,1,3,199,43.90,NULL,7
326,ELEC-1326,Ice Melt Bag v41,1,1,299,24.54,NULL,6
327,ELEC-1327,Face Mask Sheet v41,1,1,1299,41.16,NULL,35
328,ELEC-1328,Polo Shirt v41,1,1,499,43.06,NULL,21
329,ELEC-1329,Bedding Set Queen v42,1,1,499,20.74,NULL,4
330,ELEC-1330,Olive Oil Extra v42,1,3,99,38.32,NULL,28
331,ELEC-1331,Face Mask Sheet v42,1,2,99,19.17,NULL,23
332,ELEC-1332,Video Game Controller v42,1,1,299,8.83,NULL,31
333,ELEC-1333,T-Shirt Cotton v42,1,2,499,36.83,NULL,29
334,ELEC-1334,Face Mask Sheet v42,1,1,1299,34.56,NULL,17
335,ELEC-1335,Yo-Yo Classic v42,1,1,799,15.66,NULL,25
336,ELEC-1336,Jeans Classic Blue v42,1,3,99,3.12,NULL,18
337,ELEC-1337,Halloween Costume v43,1,3,199,49.31,NULL,24
338,ELEC-1338,Socks 6-pack v43,1,1,499,36.26,NULL,4
339,ELEC-1339,Kite Sports v43,1,1,99,10.06,NULL,27
340,ELEC-1340,Snow Shovel v43,1,1,99,29.79,NULL,23
341,ELEC-1341,Coffee Beans v43,1,1,799,35.01,NULL,32
342,ELEC-1342,Cereal Granola v43,1,1,499,1.81,NULL,2
343,ELEC-1343,Kite Sports v43,1,2,199,11.48,NULL,15
344,ELEC-1344,Snow Shovel v43,1,3,199,34.70,NULL,21
345,ELEC-1345,Deodorant Antiperspirant v44,1,3,1299,16.15,NULL,4
346,ELEC-1346,Running Shoes Pro v44,1,1,99,29.13,NULL,2
347,ELEC-1347,Easter Basket v44,1,1,99,34.90,NULL,7
348,ELEC-1348,Doll Fashion v44,1,1,199,48.60,NULL,13
349,ELEC-1349,Skateboard Pro v44,1,2,499,35.68,NULL,33
350,ELEC-1350,Running Shoes Pro v44,1,1,499,7.01,NULL,3
351,ELEC-1351,Wireless Earbuds v44,1,1,1299,21.63,NULL,17
352,ELEC-1352,Laptop Pro 15 v44,1,1,499,12.25,NULL,34
353,ELEC-1353,Coffee Maker v45,1,1,1299,5.12,NULL,5
354,ELEC-1354,Bedding Set Queen v45,1,2,299,26.83,NULL,17
355,ELEC-1355,Trading Card Pack v45,1,2,499,5.20,NULL,34
356,ELEC-1356,Skateboard Pro v45,1,3,499,4.65,NULL,14
357,ELEC-1357,Coffee Maker v45,1,1,1299,39.96,NULL,21
358,ELEC-1358,Milk Whole 1gal v45,1,1,299,28.44,NULL,17
359,ELEC-1359,Thanksgiving Centerpiece v45,1,1,99,23.84,NULL,11
360,ELEC-1360,Eye Cream v45,1,1,799,23.84,NULL,34
361,ELEC-1361,Cereal Granola v46,1,3,799,32.75,NULL,16
362,ELEC-1362,Water Bottle Insulated v46,1,1,499,28.83,NULL,35
363,ELEC-1363,Winter Jacket v46,1,1,799,37.75,NULL,21
364,ELEC-1364,Laptop Pro 15 v46,1,1,199,10.12,NULL,32
365,ELEC-1365,Ornament Pack v46,1,1,1299,11.34,NULL,6
366,ELEC-1366,Deodorant Antiperspirant v46,1,2,199,1.97,NULL,2
367,ELEC-1367,Milk Whole 1gal v46,1,1,299,1.10,NULL,10
368,ELEC-1368,Snow Shovel v46,1,1,299,4.29,NULL,12
369,ELEC-1369,Board Game v47,1,3,799,6.45,NULL,29
370,ELEC-1370,Face Mask Sheet v47,1,2,799,46.75,NULL,26
371,ELEC-1371,Backpack Hiking v47,1,1,1299,21.87,NULL,2
372,ELEC-1372,Deodorant Antiperspirant v47,1,1,499,36.98,NULL,22
