location_id,climate_zone,avg_temp_c,avg_rainfall_mm_annual,weather_sensitivity_score,logistics_complexity_score,regional_demand_index,population_index,income_index,urbanization_score,consumer_spending_index,distance_to_dc_km,regional_supply_risk_score,market_maturity_index
58,Tropical-Savanna,26.8,810.0,0.52,0.45,1.12,0.9,0.88,0.92,0.9,250.0,0.36,0.77
59,Semi-Arid,27.0,782.0,0.48,0.4,1.08,0.85,0.8,0.88,0.82,320.0,0.34,0.74
60,Tropical-Wet,27.5,3005.0,0.7,0.58,1.05,0.82,0.78,0.85,0.8,380.0,0.45,0.72
61,Tropical-Savanna,25.8,722.0,0.45,0.38,1.1,0.88,0.88,0.9,0.88,55.0,0.32,0.79
62,Semi-Arid,25.2,610.0,0.42,0.38,1.02,0.8,0.75,0.85,0.78,400.0,0.35,0.7
63,Humid-Subtropical,26.8,1582.0,0.6,0.5,1.08,0.88,0.78,0.9,0.82,450.0,0.4,0.75
64,Humid-Continental,7.5,539.0,0.58,0.35,1.15,0.92,1.15,0.95,1.12,10.0,0.25,0.88
65,Oceanic,8.2,772.0,0.55,0.32,1.1,0.88,1.1,0.92,1.08,45.0,0.28,0.85
66,Oceanic,8.8,600.0,0.5,0.3,1.08,0.85,1.08,0.9,1.05,65.0,0.26,0.83
67,Humid-Continental,6.5,540.0,0.56,0.33,1.02,0.78,1.05,0.88,1.02,30.0,0.24,0.8
68,Humid-Continental,6.8,505.0,0.54,0.32,0.98,0.75,1.0,0.85,0.98,85.0,0.23,0.78
69,Humid-Continental,6.2,560.0,0.55,0.34,0.95,0.72,0.98,0.82,0.96,120.0,0.25,0.76
70,Oceanic,8.5,580.0,0.48,0.28,0.98,0.78,1.02,0.85,1.0,80.0,0.24,0.8
71,Subarctic,2.5,620.0,0.68,0.48,0.88,0.62,0.92,0.75,0.9,250.0,0.38,0.68
72,Humid-Continental,6.0,530.0,0.52,0.33,0.92,0.7,0.98,0.82,0.95,140.0,0.25,0.74
73,Tropical-Wet,27.2,2167.0,0.65,0.55,1.2,0.98,0.85,0.95,0.88,0.0,0.42,0.82
74,Humid-Continental,7.5,539.0,0.58,0.35,1.15,0.92,1.15,0.95,1.12,0.0,0.25,0.88
